policy_id,period_month,earned_premium
11,2025-08,26.75
11,2025-09,26.75
12,2023-06,37.08
12,2023-07,37.08
12,2023-08,37.08
12,2023-09,37.08
12,2023-10,37.08
12,2023-11,37.08
12,2023-12,37.08
12,2024-01,37.08
12,2024-02,37.08
12,2024-03,37.08
12,2024-04,37.08
12,2024-05,37.08
12,2024-06,37.08
12,2024-07,37.08
12,2024-08,37.08
12,2024-09,37.08
12,2024-10,37.08
12,2024-11,37.08
12,2024-12,37.08
12,2025-01,37.08
12,2025-02,37.08
12,2025-03,37.08
12,2025-04,37.08
12,2025-05,37.08
12,2025-06,37.08
12,2025-07,37.08
12,2025-08,37.08
12,2025-09,37.08
13,2024-04,27.31
13,2024-05,27.31
13,2024-06,27.31
13,2024-07,27.31
13,2024-08,27.31
13,2024-09,27.31
13,2024-10,27.31
13,2024-11,27.31
13,2024-12,27.31
13,2025-01,27.31
13,2025-02,27.31
13,2025-03,27.31
13,2025-04,27.31
13,2025-05,27.31
13,2025-06,27.31
13,2025-07,27.31
13,2025-08,27.31
13,2025-09,27.31
14,2025-06,30.86
14,2025-07,30.86
14,2025-08,30.86
14,2025-09,30.86
15,2023-11,43.83
15,2023-12,43.83
15,2024-01,43.83
15,2024-02,43.83
15,2024-03,43.83
15,2024-04,43.83
15,2024-05,43.83
15,2024-06,43.83
15,2024-07,43.83
15,2024-08,43.83
15,2024-09,43.83
15,2024-10,43.83
15,2024-11,43.83
15,2024-12,43.83
15,2025-01,43.83
15,2025-02,43.83
15,2025-03,43.83
15,2025-04,43.83
15,2025-05,43.83
15,2025-06,43.83
15,2025-07,43.83
15,2025-08,43.83
15,2025-09,43.83
16,2022-03,33.18
16,2022-04,33.18
16,2022-05,33.18
16,2022-06,33.18
16,2022-07,33.18
16,2022-08,33.18
16,2022-09,33.18
16,2022-10,33.18
16,2022-11,33.18
16,2022-12,33.18
16,2023-01,33.18
16,2023-02,33.18
16,2023-03,33.18
16,2023-04,33.18
16,2023-05,33.18
16,2023-06,33.18
16,2023-07,33.18
16,2023-08,33.18
16,2023-09,33.18
16,2023-10,33.18
16,2023-11,33.18
16,2023-12,33.18
16,2024-01,33.18
16,2024-02,33.18
16,2024-03,33.18
16,2024-04,33.18
16,2024-05,33.18
16,2024-06,33.18
16,2024-07,33.18
16,2024-08,33.18
16,2024-09,33.18
16,2024-10,33.18
16,2024-11,33.18
16,2024-12,33.18
16,2025-01,33.18
16,2025-02,33.18
16,2025-03,33.18
16,2025-04,33.18
16,2025-05,33.18
16,2025-06,33.18
16,2025-07,33.18
16,2025-08,33.18
16,2025-09,33.18
17,2020-12,43.2
17,2021-01,43.2
17,2021-02,43.2
17,2021-03,43.2
17,2021-04,43.2
17,2021-05,43.2
17,2021-06,43.2
17,2021-07,43.2
17,2021-08,43.2
17,2021-09,43.2
17,2021-10,43.2
17,2021-11,43.2
17,2021-12,43.2
17,2022-01,43.2
17,2022-02,43.2
17,2022-03,43.2
17,2022-04,43.2
17,2022-05,43.2
17,2022-06,43.2
17,2022-07,43.2
17,2022-08,43.2
17,2022-09,43.2
17,2022-10,43.2
17,2022-11,43.2
17,2022-12,43.2
17,2023-01,43.2
17,2023-02,43.2
17,2023-03,43.2
17,2023-04,43.2
17,2023-05,43.2
17,2023-06,43.2
17,2023-07,43.2
17,2023-08,43.2
17,2023-09,43.2
17,2023-10,43.2
17,2023-11,43.2
17,2023-12,43.2
17,2024-01,43.2
17,2024-02,43.2
18,2021-10,33.74
18,2021-11,33.74
18,2021-12,33.74
18,2022-01,33.74
18,2022-02,33.74
18,2022-03,33.74
18,2022-04,33.74
18,2022-05,33.74
18,2022-06,33.74
18,2022-07,33.74
18,2022-08,33.74
18,2022-09,33.74
18,2022-10,33.74
18,2022-11,33.74
18,2022-12,33.74
18,2023-01,33.74
18,2023-02,33.74
18,2023-03,33.74
18,2023-04,33.74
18,2023-05,33.74
18,2023-06,33.74
18,2023-07,33.74
18,2023-08,33.74
18,2023-09,33.74
19,2025-07,33.61
19,2025-08,33.61
19,2025-09,33.61
20,2021-06,27.92
20,2021-07,27.92
20,2021-08,27.92
20,2021-09,27.92
20,2021-10,27.92
20,2021-11,27.92
20,2021-12,27.92
20,2022-01,27.92
20,2022-02,27.92
21,2021-06,39.83
21,2021-07,39.83
21,2021-08,39.83
21,2021-09,39.83
21,2021-10,39.83
21,2021-11,39.83
21,2021-12,39.83
21,2022-01,39.83
21,2022-02,39.83
21,2022-03,39.83
21,2022-04,39.83
21,2022-05,39.83
21,2022-06,39.83
21,2022-07,39.83
21,2022-08,39.83
21,2022-09,39.83
21,2022-10,39.83
21,2022-11,39.83
21,2022-12,39.83
21,2023-01,39.83
21,2023-02,39.83
21,2023-03,39.83
21,2023-04,39.83
21,2023-05,39.83
21,2023-06,39.83
21,2023-07,39.83
21,2023-08,39.83
21,2023-09,39.83
21,2023-10,39.83
21,2023-11,39.83
21,2023-12,39.83
21,2024-01,39.83
21,2024-02,39.83
21,2024-03,39.83
21,2024-04,39.83
21,2024-05,39.83
21,2024-06,39.83
21,2024-07,39.83
21,2024-08,39.83
21,2024-09,39.83
21,2024-10,39.83
21,2024-11,39.83
21,2024-12,39.83
21,2025-01,39.83
21,2025-02,39.83
21,2025-03,39.83
21,2025-04,39.83
21,2025-05,39.83
21,2025-06,39.83
21,2025-07,39.83
21,2025-08,39.83
21,2025-09,39.83
22,2024-08,28.52
22,2024-09,28.52
22,2024-10,28.52
22,2024-11,28.52
22,2024-12,28.52
22,2025-01,28.52
22,2025-02,28.52
22,2025-03,28.52
23,2023-03,16.67
23,2023-04,16.67
23,2023-05,16.67
23,2023-06,16.67
23,2023-07,16.67
23,2023-08,16.67
23,2023-09,16.67
23,2023-10,16.67
23,2023-11,16.67
23,2023-12,16.67
23,2024-01,16.67
23,2024-02,16.67
23,2024-03,16.67
23,2024-04,16.67
23,2024-05,16.67
23,2024-06,16.67
23,2024-07,16.67
23,2024-08,16.67
23,2024-09,16.67
23,2024-10,16.67
23,2024-11,16.67
23,2024-12,16.67
23,2025-01,16.67
23,2025-02,16.67
23,2025-03,16.67
23,2025-04,16.67
23,2025-05,16.67
23,2025-06,16.67
23,2025-07,16.67
23,2025-08,16.67
23,2025-09,16.67
24,2023-10,29.71
24,2023-11,29.71
24,2023-12,29.71
24,2024-01,29.71
24,2024-02,29.71
24,2024-03,29.71
24,2024-04,29.71
24,2024-05,29.71
24,2024-06,29.71
24,2024-07,29.71
24,2024-08,29.71
24,2024-09,29.71
24,2024-10,29.71
24,2024-11,29.71
24,2024-12,29.71
24,2025-01,29.71
24,2025-02,29.71
25,2025-04,54.89
25,2025-05,54.89
25,2025-06,54.89
25,2025-07,54.89
25,2025-08,54.89
25,2025-09,54.89
26,2020-12,33.61
26,2021-01,33.61
26,2021-02,33.61
26,2021-03,33.61
26,2021-04,33.61
26,2021-05,33.61
26,2021-06,33.61
26,2021-07,33.61
26,2021-08,33.61
26,2021-09,33.61
26,2021-10,33.61
26,2021-11,33.61
26,2021-12,33.61
26,2022-01,33.61
26,2022-02,33.61
26,2022-03,33.61
26,2022-04,33.61
26,2022-05,33.61
26,2022-06,33.61
26,2022-07,33.61
26,2022-08,33.61
26,2022-09,33.61
26,2022-10,33.61
26,2022-11,33.61
26,2022-12,33.61
26,2023-01,33.61
26,2023-02,33.61
26,2023-03,33.61
26,2023-04,33.61
26,2023-05,33.61
26,2023-06,33.61
26,2023-07,33.61
26,2023-08,33.61
26,2023-09,33.61
26,2023-10,33.61
26,2023-11,33.61
26,2023-12,33.61
26,2024-01,33.61
26,2024-02,33.61
26,2024-03,33.61
26,2024-04,33.61
26,2024-05,33.61
26,2024-06,33.61
26,2024-07,33.61
26,2024-08,33.61
26,2024-09,33.61
26,2024-10,33.61
26,2024-11,33.61
26,2024-12,33.61
26,2025-01,33.61
26,2025-02,33.61
26,2025-03,33.61
26,2025-04,33.61
26,2025-05,33.61
26,2025-06,33.61
27,2025-05,6.67
27,2025-06,6.67
27,2025-07,6.67
27,2025-08,6.67
27,2025-09,6.67
28,2025-08,64.57
28,2025-09,64.57
29,2024-02,28.35
29,2024-03,28.35
29,2024-04,28.35
29,2024-05,28.35
29,2024-06,28.35
29,2024-07,28.35
29,2024-08,28.35
30,2023-10,10.0
30,2023-11,10.0
30,2023-12,10.0
30,2024-01,10.0
30,2024-02,10.0
30,2024-03,10.0
30,2024-04,10.0
30,2024-05,10.0
30,2024-06,10.0
30,2024-07,10.0
30,2024-08,10.0
30,2024-09,10.0
30,2024-10,10.0
30,2024-11,10.0
30,2024-12,10.0
30,2025-01,10.0
30,2025-02,10.0
30,2025-03,10.0
30,2025-04,10.0
30,2025-05,10.0
30,2025-06,10.0
30,2025-07,10.0
30,2025-08,10.0
30,2025-09,10.0
31,2023-12,35.72
31,2024-01,35.72
31,2024-02,35.72
31,2024-03,35.72
31,2024-04,35.72
31,2024-05,35.72
31,2024-06,35.72
31,2024-07,35.72
31,2024-08,35.72
31,2024-09,35.72
31,2024-10,35.72
31,2024-11,35.72
31,2024-12,35.72
31,2025-01,35.72
31,2025-02,35.72
31,2025-03,35.72
31,2025-04,35.72
31,2025-05,35.72
31,2025-06,35.72
31,2025-07,35.72
31,2025-08,35.72
31,2025-09,35.72
32,2021-05,35.77
32,2021-06,35.77
32,2021-07,35.77
32,2021-08,35.77
32,2021-09,35.77
32,2021-10,35.77
32,2021-11,35.77
32,2021-12,35.77
32,2022-01,35.77
32,2022-02,35.77
32,2022-03,35.77
32,2022-04,35.77
32,2022-05,35.77
32,2022-06,35.77
32,2022-07,35.77
32,2022-08,35.77
32,2022-09,35.77
32,2022-10,35.77
32,2022-11,35.77
32,2022-12,35.77
32,2023-01,35.77
32,2023-02,35.77
32,2023-03,35.77
32,2023-04,35.77
32,2023-05,35.77
32,2023-06,35.77
32,2023-07,35.77
32,2023-08,35.77
32,2023-09,35.77
32,2023-10,35.77
32,2023-11,35.77
32,2023-12,35.77
32,2024-01,35.77
32,2024-02,35.77
32,2024-03,35.77
32,2024-04,35.77
32,2024-05,35.77
32,2024-06,35.77
32,2024-07,35.77
33,2025-05,28.85
33,2025-06,28.85
33,2025-07,28.85
33,2025-08,28.85
33,2025-09,28.85
34,2024-02,37.09
34,2024-03,37.09
34,2024-04,37.09
34,2024-05,37.09
34,2024-06,37.09
34,2024-07,37.09
34,2024-08,37.09
34,2024-09,37.09
34,2024-10,37.09
34,2024-11,37.09
34,2024-12,37.09
34,2025-01,37.09
34,2025-02,37.09
34,2025-03,37.09
34,2025-04,37.09
34,2025-05,37.09
34,2025-06,37.09
34,2025-07,37.09
34,2025-08,37.09
34,2025-09,37.09
35,2025-08,43.77
35,2025-09,43.77
36,2024-07,38.56
36,2024-08,38.56
36,2024-09,38.56
36,2024-10,38.56
36,2024-11,38.56
36,2024-12,38.56
36,2025-01,38.56
36,2025-02,38.56
36,2025-03,38.56
36,2025-04,38.56
36,2025-05,38.56
36,2025-06,38.56
36,2025-07,38.56
36,2025-08,38.56
36,2025-09,38.56
37,2024-03,36.26
37,2024-04,36.26
37,2024-05,36.26
37,2024-06,36.26
37,2024-07,36.26
37,2024-08,36.26
37,2024-09,36.26
37,2024-10,36.26
37,2024-11,36.26
37,2024-12,36.26
37,2025-01,36.26
38,2023-07,40.76
38,2023-08,40.76
38,2023-09,40.76
38,2023-10,40.76
38,2023-11,40.76
38,2023-12,40.76
38,2024-01,40.76
38,2024-02,40.76
38,2024-03,40.76
38,2024-04,40.76
39,2021-04,43.77
39,2021-05,43.77
39,2021-06,43.77
39,2021-07,43.77
39,2021-08,43.77
39,2021-09,43.77
39,2021-10,43.77
39,2021-11,43.77
39,2021-12,43.77
39,2022-01,43.77
39,2022-02,43.77
39,2022-03,43.77
39,2022-04,43.77
39,2022-05,43.77
40,2025-04,31.03
40,2025-05,31.03
40,2025-06,31.03
40,2025-07,31.03
40,2025-08,31.03
40,2025-09,31.03
41,2022-12,31.79
41,2023-01,31.79
41,2023-02,31.79
41,2023-03,31.79
41,2023-04,31.79
41,2023-05,31.79
41,2023-06,31.79
41,2023-07,31.79
41,2023-08,31.79
41,2023-09,31.79
41,2023-10,31.79
41,2023-11,31.79
41,2023-12,31.79
41,2024-01,31.79
41,2024-02,31.79
41,2024-03,31.79
41,2024-04,31.79
41,2024-05,31.79
41,2024-06,31.79
41,2024-07,31.79
41,2024-08,31.79
41,2024-09,31.79
41,2024-10,31.79
41,2024-11,31.79
41,2024-12,31.79
41,2025-01,31.79
41,2025-02,31.79
41,2025-03,31.79
41,2025-04,31.79
41,2025-05,31.79
41,2025-06,31.79
41,2025-07,31.79
41,2025-08,31.79
41,2025-09,31.79
42,2023-10,35.04
42,2023-11,35.04
42,2023-12,35.04
42,2024-01,35.04
42,2024-02,35.04
42,2024-03,35.04
42,2024-04,35.04
42,2024-05,35.04
42,2024-06,35.04
42,2024-07,35.04
42,2024-08,35.04
42,2024-09,35.04
42,2024-10,35.04
42,2024-11,35.04
42,2024-12,35.04
42,2025-01,35.04
42,2025-02,35.04
42,2025-03,35.04
42,2025-04,35.04
42,2025-05,35.04
42,2025-06,35.04
42,2025-07,35.04
42,2025-08,35.04
42,2025-09,35.04
43,2024-07,32.26
43,2024-08,32.26
43,2024-09,32.26
43,2024-10,32.26
43,2024-11,32.26
43,2024-12,32.26
43,2025-01,32.26
43,2025-02,32.26
43,2025-03,32.26
43,2025-04,32.26
43,2025-05,32.26
43,2025-06,32.26
43,2025-07,32.26
43,2025-08,32.26
43,2025-09,32.26
44,2025-09,45.3
45,2022-03,40.57
45,2022-04,40.57
45,2022-05,40.57
45,2022-06,40.57
45,2022-07,40.57
45,2022-08,40.57
45,2022-09,40.57
45,2022-10,40.57
45,2022-11,40.57
45,2022-12,40.57
45,2023-01,40.57
46,2024-10,40.11
46,2024-11,40.11
46,2024-12,40.11
46,2025-01,40.11
46,2025-02,40.11
46,2025-03,40.11
46,2025-04,40.11
46,2025-05,40.11
46,2025-06,40.11
46,2025-07,40.11
46,2025-08,40.11
46,2025-09,40.11
47,2025-06,41.88
47,2025-07,41.88
47,2025-08,41.88
47,2025-09,41.88
48,2025-08,29.89
48,2025-09,29.89
49,2023-10,39.94
49,2023-11,39.94
49,2023-12,39.94
49,2024-01,39.94
49,2024-02,39.94
49,2024-03,39.94
49,2024-04,39.94
49,2024-05,39.94
49,2024-06,39.94
49,2024-07,39.94
49,2024-08,39.94
49,2024-09,39.94
49,2024-10,39.94
49,2024-11,39.94
49,2024-12,39.94
49,2025-01,39.94
49,2025-02,39.94
49,2025-03,39.94
49,2025-04,39.94
49,2025-05,39.94
49,2025-06,39.94
49,2025-07,39.94
49,2025-08,39.94
49,2025-09,39.94
50,2021-02,39.62
50,2021-03,39.62
50,2021-04,39.62
50,2021-05,39.62
50,2021-06,39.62
50,2021-07,39.62
50,2021-08,39.62
50,2021-09,39.62
50,2021-10,39.62
50,2021-11,39.62
50,2021-12,39.62
50,2022-01,39.62
50,2022-02,39.62
50,2022-03,39.62
50,2022-04,39.62
50,2022-05,39.62
50,2022-06,39.62
50,2022-07,39.62
50,2022-08,39.62
50,2022-09,39.62
50,2022-10,39.62
50,2022-11,39.62
50,2022-12,39.62
50,2023-01,39.62
50,2023-02,39.62
50,2023-03,39.62
50,2023-04,39.62
50,2023-05,39.62
50,2023-06,39.62
50,2023-07,39.62
50,2023-08,39.62
50,2023-09,39.62
50,2023-10,39.62
50,2023-11,39.62
50,2023-12,39.62
50,2024-01,39.62
50,2024-02,39.62
50,2024-03,39.62
50,2024-04,39.62
50,2024-05,39.62
50,2024-06,39.62
50,2024-07,39.62
50,2024-08,39.62
50,2024-09,39.62
50,2024-10,39.62
50,2024-11,39.62
51,2022-03,51.29
51,2022-04,51.29
51,2022-05,51.29
51,2022-06,51.29
51,2022-07,51.29
51,2022-08,51.29
51,2022-09,51.29
51,2022-10,51.29
51,2022-11,51.29
51,2022-12,51.29
51,2023-01,51.29
51,2023-02,51.29
51,2023-03,51.29
51,2023-04,51.29
51,2023-05,51.29
51,2023-06,51.29
51,2023-07,51.29
51,2023-08,51.29
51,2023-09,51.29
51,2023-10,51.29
51,2023-11,51.29
51,2023-12,51.29
51,2024-01,51.29
51,2024-02,51.29
51,2024-03,51.29
51,2024-04,51.29
51,2024-05,51.29
51,2024-06,51.29
52,2024-02,16.67
52,2024-03,16.67
52,2024-04,16.67
52,2024-05,16.67
52,2024-06,16.67
52,2024-07,16.67
52,2024-08,16.67
52,2024-09,16.67
52,2024-10,16.67
52,2024-11,16.67
52,2024-12,16.67
52,2025-01,16.67
52,2025-02,16.67
52,2025-03,16.67
52,2025-04,16.67
52,2025-05,16.67
52,2025-06,16.67
52,2025-07,16.67
52,2025-08,16.67
52,2025-09,16.67
53,2025-04,49.05
53,2025-05,49.05
53,2025-06,49.05
53,2025-07,49.05
53,2025-08,49.05
53,2025-09,49.05
54,2023-10,31.13
54,2023-11,31.13
54,2023-12,31.13
54,2024-01,31.13
54,2024-02,31.13
54,2024-03,31.13
54,2024-04,31.13
54,2024-05,31.13
54,2024-06,31.13
54,2024-07,31.13
54,2024-08,31.13
54,2024-09,31.13
54,2024-10,31.13
54,2024-11,31.13
54,2024-12,31.13
54,2025-01,31.13
54,2025-02,31.13
54,2025-03,31.13
54,2025-04,31.13
54,2025-05,31.13
54,2025-06,31.13
54,2025-07,31.13
54,2025-08,31.13
54,2025-09,31.13
55,2024-07,35.54
55,2024-08,35.54
55,2024-09,35.54
55,2024-10,35.54
55,2024-11,35.54
55,2024-12,35.54
55,2025-01,35.54
55,2025-02,35.54
56,2021-12,30.83
56,2022-01,30.83
56,2022-02,30.83
56,2022-03,30.83
56,2022-04,30.83
56,2022-05,30.83
56,2022-06,30.83
56,2022-07,30.83
56,2022-08,30.83
56,2022-09,30.83
57,2023-03,44.55
57,2023-04,44.55
57,2023-05,44.55
57,2023-06,44.55
57,2023-07,44.55
57,2023-08,44.55
57,2023-09,44.55
57,2023-10,44.55
57,2023-11,44.55
57,2023-12,44.55
57,2024-01,44.55
58,2021-11,40.85
58,2021-12,40.85
58,2022-01,40.85
58,2022-02,40.85
58,2022-03,40.85
58,2022-04,40.85
58,2022-05,40.85
58,2022-06,40.85
58,2022-07,40.85
58,2022-08,40.85
58,2022-09,40.85
58,2022-10,40.85
58,2022-11,40.85
58,2022-12,40.85
58,2023-01,40.85
58,2023-02,40.85
58,2023-03,40.85
58,2023-04,40.85
58,2023-05,40.85
58,2023-06,40.85
58,2023-07,40.85
58,2023-08,40.85
58,2023-09,40.85
58,2023-10,40.85
58,2023-11,40.85
58,2023-12,40.85
58,2024-01,40.85
58,2024-02,40.85
58,2024-03,40.85
58,2024-04,40.85
58,2024-05,40.85
59,2022-07,34.47
59,2022-08,34.47
59,2022-09,34.47
59,2022-10,34.47
59,2022-11,34.47
59,2022-12,34.47
59,2023-01,34.47
59,2023-02,34.47
59,2023-03,34.47
59,2023-04,34.47
59,2023-05,34.47
59,2023-06,34.47
59,2023-07,34.47
59,2023-08,34.47
59,2023-09,34.47
59,2023-10,34.47
59,2023-11,34.47
59,2023-12,34.47
59,2024-01,34.47
59,2024-02,34.47
59,2024-03,34.47
59,2024-04,34.47
59,2024-05,34.47
59,2024-06,34.47
59,2024-07,34.47
59,2024-08,34.47
59,2024-09,34.47
59,2024-10,34.47
59,2024-11,34.47
59,2024-12,34.47
59,2025-01,34.47
59,2025-02,34.47
59,2025-03,34.47
59,2025-04,34.47
59,2025-05,34.47
59,2025-06,34.47
59,2025-07,34.47
59,2025-08,34.47
59,2025-09,34.47
60,2021-09,33.96
60,2021-10,33.96
60,2021-11,33.96
60,2021-12,33.96
60,2022-01,33.96
60,2022-02,33.96
60,2022-03,33.96
60,2022-04,33.96
60,2022-05,33.96
60,2022-06,33.96
61,2023-05,50.6
61,2023-06,50.6
61,2023-07,50.6
61,2023-08,50.6
61,2023-09,50.6
61,2023-10,50.6
61,2023-11,50.6
61,2023-12,50.6
61,2024-01,50.6
61,2024-02,50.6
61,2024-03,50.6
61,2024-04,50.6
61,2024-05,50.6
61,2024-06,50.6
61,2024-07,50.6
61,2024-08,50.6
61,2024-09,50.6
61,2024-10,50.6
61,2024-11,50.6
61,2024-12,50.6
61,2025-01,50.6
61,2025-02,50.6
61,2025-03,50.6
61,2025-04,50.6
61,2025-05,50.6
61,2025-06,50.6
61,2025-07,50.6
61,2025-08,50.6
61,2025-09,50.6
62,2024-11,26.32
62,2024-12,26.32
62,2025-01,26.32
62,2025-02,26.32
62,2025-03,26.32
62,2025-04,26.32
62,2025-05,26.32
62,2025-06,26.32
62,2025-07,26.32
62,2025-08,26.32
62,2025-09,26.32
63,2021-09,30.34
63,2021-10,30.34
63,2021-11,30.34
63,2021-12,30.34
63,2022-01,30.34
63,2022-02,30.34
63,2022-03,30.34
63,2022-04,30.34
63,2022-05,30.34
63,2022-06,30.34
63,2022-07,30.34
63,2022-08,30.34
63,2022-09,30.34
63,2022-10,30.34
63,2022-11,30.34
63,2022-12,30.34
63,2023-01,30.34
63,2023-02,30.34
63,2023-03,30.34
63,2023-04,30.34
63,2023-05,30.34
63,2023-06,30.34
63,2023-07,30.34
63,2023-08,30.34
64,2024-01,36.62
64,2024-02,36.62
64,2024-03,36.62
64,2024-04,36.62
64,2024-05,36.62
64,2024-06,36.62
64,2024-07,36.62
64,2024-08,36.62
64,2024-09,36.62
64,2024-10,36.62
64,2024-11,36.62
64,2024-12,36.62
65,2022-02,26.64
65,2022-03,26.64
65,2022-04,26.64
65,2022-05,26.64
65,2022-06,26.64
65,2022-07,26.64
65,2022-08,26.64
65,2022-09,26.64
65,2022-10,26.64
65,2022-11,26.64
65,2022-12,26.64
65,2023-01,26.64
65,2023-02,26.64
65,2023-03,26.64
65,2023-04,26.64
65,2023-05,26.64
65,2023-06,26.64
65,2023-07,26.64
65,2023-08,26.64
65,2023-09,26.64
65,2023-10,26.64
65,2023-11,26.64
65,2023-12,26.64
65,2024-01,26.64
65,2024-02,26.64
66,2021-02,27.33
66,2021-03,27.33
66,2021-04,27.33
66,2021-05,27.33
66,2021-06,27.33
66,2021-07,27.33
66,2021-08,27.33
66,2021-09,27.33
66,2021-10,27.33
66,2021-11,27.33
66,2021-12,27.33
66,2022-01,27.33
66,2022-02,27.33
66,2022-03,27.33
66,2022-04,27.33
66,2022-05,27.33
66,2022-06,27.33
66,2022-07,27.33
66,2022-08,27.33
66,2022-09,27.33
66,2022-10,27.33
66,2022-11,27.33
66,2022-12,27.33
66,2023-01,27.33
66,2023-02,27.33
66,2023-03,27.33
66,2023-04,27.33
66,2023-05,27.33
66,2023-06,27.33
66,2023-07,27.33
66,2023-08,27.33
66,2023-09,27.33
66,2023-10,27.33
66,2023-11,27.33
66,2023-12,27.33
66,2024-01,27.33
66,2024-02,27.33
66,2024-03,27.33
66,2024-04,27.33
66,2024-05,27.33
